modelo,metodo,balanceo,recall_cv,recall_cv_std,precision_cv,f1_cv,balanced_accuracy_cv,pr_auc_cv,roc_auc_cv,recall_test,precision_test,f1_test,balanced_accuracy_test,pr_auc_test,roc_auc_test,tiempo_s,params
XGBoost_hist,baseline,sin_balanceo,0.0383403700529514,0.0056581999481256,0.5611877847170211,0.0717303433790336,0.5187072020014986,0.2682070207805089,0.893395983682882,0.0402208201892744,0.5828571428571429,0.0752489856141645,0.5196612788252569,0.2724908658371371,0.8948221288981318,6.29,{}
XGBoost_hist,baseline,smote,0.7767578000762345,0.0103872294539275,0.1312469629099924,0.2245466967343202,0.8081367382388347,0.2542515125635864,0.8884500020116486,0.7779968454258676,0.1300507547294179,0.2228497204495397,0.8077979502022284,0.2547288150885148,0.8904717192281517,8.26,{}
XGBoost_hist,baseline,adasyn,0.7894725980669455,0.009193245983397,0.1234911133517802,0.2135679133359329,0.8072771410310728,0.2491739927397238,0.8871152463142105,0.7957413249211357,0.1215662650602409,0.2109113712374582,0.808155153281063,0.2474175649498916,0.8888325312914904,18.77,{}
XGBoost_hist,baseline,weights,0.835500319262322,0.0077024026373392,0.114821966241426,0.2018958871939284,0.8172290391959439,0.26766755627138,0.8932775933328813,0.8406940063091483,0.1163564918408557,0.2044201543698163,0.8207321485992756,0.2714066293948315,0.8946282383410638,5.38,{}
XGBoost_hist,grid_search,sin_balanceo,0.0678100546994685,0.0064990107931192,0.5084383580254097,0.1195549920668961,0.5328806194023709,0.2605312513571871,0.8900280304796452,0.0682176656151419,0.4928774928774929,0.1198475926567371,0.53301369080826,0.2651753786769705,0.8919037339400782,108.23,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.7}"
XGBoost_hist,grid_search,smote,0.8188440033310107,0.0050227212807026,0.1145501324794406,0.2009824500815251,0.8106312939428927,0.2449401357377375,0.887488961743746,0.8213722397476341,0.1167666349010594,0.2044662576687116,0.8137475954853739,0.2478542612416238,0.8886120778251465,150.67,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}"
XGBoost_hist,grid_search,adasyn,0.8374722678792971,0.0069239080800497,0.1075278308583917,0.1905833956497638,0.810248937483897,0.2419553335540993,0.8866099143339771,0.8414826498422713,0.1080123500531457,0.1914502310142197,0.8123161145062121,0.2416706344974467,0.8878747963663939,239.51,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}"
XGBoost_hist,grid_search,weights,0.836092132065348,0.0053853059172856,0.1122903341402751,0.1979889380812342,0.8148900946253856,0.2613790387715619,0.8915579862345637,0.8450315457413249,0.1139408762228838,0.2008058470764617,0.8199846413059629,0.2648145451783957,0.8926876199734213,312.39,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__scale_pos_weight': 32, 'classifier__subsample': 0.7}"
XGBoost_hist,random_search,sin_balanceo,0.0514495966126631,0.0064053979721846,0.5485133696757434,0.0940143879988912,0.5250680084331395,0.2700521799024393,0.8939032443331133,0.0563880126182965,0.5607843137254902,0.1024722321748477,0.5275049281972223,0.276412714725018,0.8952692805041667,27.15,"{'classifier__learning_rate': 0.09651675043146653, 'classifier__max_depth': 5, 'classifier__n_estimators': 171, 'classifier__subsample': 0.8403950683025824}"
XGBoost_hist,random_search,smote,0.8060305860587975,0.0082328046481363,0.1203094326631012,0.2093678264276057,0.8110385871024551,0.2528134011672006,0.8892177895088107,0.8146687697160884,0.1208045842591509,0.2104083918932681,0.8148256483319822,0.2544966207054429,0.8906828614838097,36.37,"{'classifier__learning_rate': 0.05329456604111434, 'classifier__max_depth': 3, 'classifier__n_estimators': 149, 'classifier__subsample': 0.8285801361297467}"
XGBoost_hist,random_search,adasyn,0.822293784460301,0.0061010428819276,0.112769131769928,0.1983376407117308,0.8101797043463078,0.2483420699127088,0.8878865868594321,0.8308359621451105,0.1123493654687,0.1979333020197275,0.8129975942044152,0.2501331758544586,0.8899556578700778,106.14,"{'classifier__learning_rate': 0.05329456604111434, 'classifier__max_depth': 3, 'classifier__n_estimators': 149, 'classifier__subsample': 0.8285801361297467}"
XGBoost_hist,random_search,weights,0.8717710925569392,0.0064779905089401,0.1002657963139984,0.1798457507563989,0.8137949597695489,0.2678091031310057,0.8929842759809976,0.8761829652996845,0.1008991008991009,0.1809593615115237,0.8162723164343577,0.2708073716881654,0.8945925510275696,26.15,"{'classifier__learning_rate': 0.09772650673914354, 'classifier__max_depth': 5, 'classifier__n_estimators': 84, 'classifier__scale_pos_weight': 44.06306520158159, 'classifier__subsample': 0.9329019834400152}"
XGBoost_hist,optuna,sin_balanceo,0.0650510941107634,0.0053443546776805,0.52087349720214,0.1156427507339506,0.5315934284134556,0.2637571040577245,0.8914811461864003,0.0686119873817034,0.5304878048780488,0.1215083798882681,0.5333585112869536,0.2754163400783138,0.8931845809766928,102.69,"{'n_estimators': 192, 'max_depth': 6, 'learning_rate': 0.16445227230751241, 'subsample': 0.8279596386253469}"
XGBoost_hist,optuna,smote,0.827418782335932,0.0061112835708078,0.10968966599345,0.1937002479093829,0.8088968307465281,0.2354303465184907,0.8845078027570885,0.832807570977918,0.1118288679445091,0.1971804686770609,0.8132020332617601,0.2369655621647037,0.8847703179059851,122.27,"{'n_estimators': 52, 'max_depth': 3, 'learning_rate': 0.0602623400459642, 'subsample': 0.8992033063494871}"
